id,situacao,cargo,funcao
1091493,Ativo,TEC EM SEGURANCA DO TRABALHO,Sem função
3770836,Pensionista,TEC DE TECNOLOGIA DA INFORMACAO,Sem função
1256012,Ativo,AUXILIAR DE ENFERMAGEM,Sem função
2162291,Pensionista,VIGILANTE,Sem função
2267484,Ativo,PEDAGOGO-AREA,Sem função
1430053,Ativo,SECRETARIO EXECUTIVO,Sem função
355085,Ativo,TEC EM ANATOMIA E NECROPSIA,Sem função
1940282,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
1228523,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
324712,Ativo,FARMACEUTICO-HABILITACAO,Sem função
